Sector,Industry,Company,Ticker
Technology,Exchange Traded Fund,Technology Select Sector SPDR Fund,XLK
Healthcare,Exchange Traded Fund,Health Care Select Sector SPDR Fund,XLV
Consumer Cyclical,Exchange Traded Fund,Consumer Discretionary Select Sector SPDR Fund,XLY
Communication Services,Exchange Traded Fund,Communication Services Select Sector SPDR Fund,XLC
Financial,Exchange Traded Fund,Financial Select Sector SPDR Fund,XLF
Industrials,Exchange Traded Fund,Industrial Select Sector SPDR Fund,XLI
Consumer Defensive,Exchange Traded Fund,Consumer Staples Select Sector SPDR Fund,XLP
Utilities,Exchange Traded Fund,Utilities Select Sector SPDR Fund,XLU
Basic Materials,Exchange Traded Fund,Materials Select Sector SPDR Fund,XLB
Real Estate,Exchange Traded Fund,Real Estate Select Sector SPDR Fund,XLRE
Energy,Exchange Traded Fund,Energy Select Sector SPDR Fund,XLE
