Ticker,Company,Sector,Industry
AAPL,Apple Inc,Technology,Consumer Electronics
AMGN,AMGEN Inc.,Healthcare,Drug Manufacturers - General
AXP,American Express Co.,Financial,Credit Services
BA,Boeing Co.,Industrials,Aerospace & Defense
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery
CRM,Salesforce Inc,Technology,Software - Application
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment
CVX,Chevron Corp.,Energy,Oil & Gas Integrated
DIS,Walt Disney Co,Communication Services,Entertainment
DOW,Dow Inc,Basic Materials,Chemicals
GS,"Goldman Sachs Group, Inc.",Financial,Capital Markets
HD,"Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail
HON,Honeywell International Inc,Industrials,Conglomerates
IBM,International Business Machines Corp.,Technology,Information Technology Services
INTC,Intel Corp.,Technology,Semiconductors
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General
JPM,JPMorgan Chase & Co.,Financial,Banks - Diversified
KO,Coca-Cola Co,Consumer Defensive,Beverages - Non-Alcoholic
MCD,McDonald's Corp,Consumer Cyclical,Restaurants
MMM,3M Co.,Industrials,Conglomerates
MRK,Merck & Co Inc,Healthcare,Drug Manufacturers - General
MSFT,Microsoft Corporation,Technology,Software - Infrastructure
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories
PG,Procter & Gamble Co.,Consumer Defensive,Household & Personal Products
TRV,Travelers Companies Inc.,Financial,Insurance - Property & Casualty
UNH,Unitedhealth Group Inc,Healthcare,Healthcare Plans
V,Visa Inc,Financial,Credit Services
VZ,Verizon Communications Inc,Communication Services,Telecom Services
WBA,Walgreens Boots Alliance Inc,Healthcare,Pharmaceutical Retailers
WMT,Walmart Inc,Consumer Defensive,Discount Stores
