Ticker,Company,Sector,Industry
A,Agilent Technologies Inc.,Healthcare,Diagnostics & Research
AAL,American Airlines Group Inc,Industrials,Airlines
AAPL,Apple Inc,Technology,Consumer Electronics
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services
ABT,Abbott Laboratories,Healthcare,Medical Devices
ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified
ACN,Accenture plc,Technology,Information Technology Services
ADBE,Adobe Inc,Technology,Software - Infrastructure
ADI,Analog Devices Inc.,Technology,Semiconductors
ADM,Archer Daniels Midland Co.,Consumer Defensive,Farm Products
ADP,Automatic Data Processing Inc.,Industrials,Staffing & Employment Services
ADSK,Autodesk Inc.,Technology,Software - Application
AEE,Ameren Corp.,Utilities,Utilities - Regulated Electric
AEP,American Electric Power Company Inc.,Utilities,Utilities - Regulated Electric
AES,AES Corp.,Utilities,Utilities - Diversified
AFL,Aflac Inc.,Financial,Insurance - Life
AIG,American International Group Inc,Financial,Insurance - Diversified
AIZ,Assurant Inc,Financial,Insurance - Specialty
AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers
AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure
ALB,Albemarle Corp.,Basic Materials,Specialty Chemicals
ALGN,"Align Technology, Inc.",Healthcare,Medical Devices
ALK,Alaska Air Group Inc.,Industrials,Airlines
ALL,Allstate Corp,Financial,Insurance - Property & Casualty
ALLE,Allegion plc,Industrials,Security & Protection Services
AMAT,Applied Materials Inc.,Technology,Semiconductor Equipment & Materials
AMCR,Amcor Plc,Consumer Cyclical,Packaging & Containers
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors
AME,Ametek Inc,Industrials,Specialty Industrial Machinery
AMGN,AMGEN Inc.,Healthcare,Drug Manufacturers - General
AMP,Ameriprise Financial Inc,Financial,Asset Management
AMT,American Tower Corp.,Real Estate,REIT - Specialty
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail
ANET,Arista Networks Inc,Technology,Computer Hardware
ANSS,Ansys Inc.,Technology,Software - Application
AON,Aon plc.,Financial,Insurance Brokers
AOS,A.O. Smith Corp.,Industrials,Specialty Industrial Machinery
APA,APA Corporation,Energy,Oil & Gas E&P
APD,Air Products & Chemicals Inc.,Basic Materials,Specialty Chemicals
APH,Amphenol Corp.,Technology,Electronic Components
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts
ARE,Alexandria Real Estate Equities Inc.,Real Estate,REIT - Office
ATO,Atmos Energy Corp.,Utilities,Utilities - Regulated Gas
AVB,Avalonbay Communities Inc.,Real Estate,REIT - Residential
AVGO,Broadcom Inc,Technology,Semiconductors
AVY,Avery Dennison Corp.,Consumer Cyclical,Packaging & Containers
AWK,American Water Works Co. Inc.,Utilities,Utilities - Regulated Water
AXON,Axon Enterprise Inc,Industrials,Aerospace & Defense
AXP,American Express Co.,Financial,Credit Services
AZO,Autozone Inc.,Consumer Cyclical,Specialty Retail
BA,Boeing Co.,Industrials,Aerospace & Defense
BAC,Bank Of America Corp.,Financial,Banks - Diversified
BALL,Ball Corp.,Consumer Cyclical,Packaging & Containers
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies
BBWI,Bath & Body Works Inc,Consumer Cyclical,Specialty Retail
BBY,Best Buy Co. Inc.,Consumer Cyclical,Specialty Retail
BDX,Becton Dickinson & Co.,Healthcare,Medical Instruments & Supplies
BEN,"Franklin Resources, Inc.",Financial,Asset Management
BF-B,Brown-Forman Corp.,Consumer Defensive,Beverages - Wineries & Distilleries
BG,Bunge Ltd.,Consumer Defensive,Farm Products
BIIB,Biogen Inc,Healthcare,Drug Manufacturers - General
BIO,Bio-Rad Laboratories Inc.,Healthcare,Medical Devices
BK,Bank Of New York Mellon Corp,Financial,Asset Management
BKNG,Booking Holdings Inc,Consumer Cyclical,Travel Services
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services
BLK,Blackrock Inc.,Financial,Asset Management
BMY,Bristol-Myers Squibb Co.,Healthcare,Drug Manufacturers - General
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services
BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified
BRO,"Brown & Brown, Inc.",Financial,Insurance Brokers
BSX,Boston Scientific Corp.,Healthcare,Medical Devices
BWA,BorgWarner Inc,Consumer Cyclical,Auto Parts
BX,Blackstone Inc,Financial,Asset Management
